Tweet,Label,clean_tweet
RT @spardaxyz: Fadli Zon Minta Mendagri Segera Menonaktifkan Ahok Jadi Gubernur DKI https:\/\/t.co\/KH5vIRwPdO,Non_HS,fadli zon minta mendagri segera nonaktif ahok jadi gubernur dki
RT @baguscondromowo: Mereka terus melukai aksi dalam rangka memenjarakan Ahok atau Ahok gagal dalam Pilkada.,Non_HS,mereka terus luka aksi dalam rangka penjara ahok atau ahok gagal dalam pilkada
Sylvi: bagaimana gurbernur melakukan kekerasan perempuan? Buktinya banyak ibu2 mau foto bareng #DebatFinalPilkadaJKT,Non_HS,sylvi bagaimana gurbernur laku keras perempuan bukti banyak ibu mau foto bareng debatfinalpilkadajkt
"Ahmad Dhani Tak Puas Debat Pilkada, Masalah Jalan di Bekasi Belum Sempat Terungkap https:\/\/t.co\/m3HopPLUID\u2026",Non_HS,ahmad dhani tak puas debat pilkada masalah jalan di bekas belum sempat ungkap
RT @lisdaulay28: Waspada KTP palsu.....kawal PILKADA https:\/\/t.co\/OOoERQV4SM,Non_HS,waspada ktp palsu kawal pilkada
"@felixsiauw masih bnyak hal agamis yg bisa dibahas, kenapa ke pilkada terus, apa tingkat keimanan anda cuma sebatas pilkada????",Non_HS,masih bnyak hal agam yg bisa bahas kenapa ke pilkada terus apa tingkat iman anda cuma batas pilkada
@saidaqil apa maksud pernyataan. Anda? Apa anda mengaminkan kriminalisasi Ahok?? Hati2 jg dg mulutmu pak! https:\/\/t.co\/H4ODVaY0Md,Non_HS,apa maksud nyata anda apa anda amin kriminalisasi ahok hati jg dg mulut pak
Ahok Akan Integrasikan Transportasi Publik dengan Sistem Single Ticketing\u2026 https:\/\/t.co\/42PH7pqV0b #infoTribun,Non_HS,ahok akan integrasi transpoasi publik dengan sistem single ticketing u infotribun
"Ahok mampu melawan korupsi di ibukota, bangun infrastruktur, mencoba memperbaiki dengan berbagai trobosan dan works well.",Non_HS,ahok mampu lawan korupsi di ibukota bangun infrastruktur coba baik dengan bagai trobosan dan works well
"Awasi Kecurangan Pilkada, Agus - Sylvi Pakai Aplikasi Ini https:\/\/t.co\/xWZW4nUFIU",Non_HS,awas curang pilkada agus sylvi pakai aplikasi ini
